entity,record_pairs,records_both_present,records_gt_only,records_ex_only,records_both_missing,both_present_rate,sample_gt_only_keys,sample_ex_only_keys
income_lines,849,662,0,187,0,0.7797408716136631,,"HH000018_I1,HH000018_I2,HH000059_I1,HH000059_I2,inc_4"
liabilities,317,272,0,45,0,0.8580441640378549,,"HH000018_L1,HH000018_L2,HH000018_L3,HH000226_L1,HH000226_L2"
protection_policies,199,190,0,9,0,0.9547738693467337,,"P1,P2,P3,POL_HH003182_1,POL_HH003182_2"
assets,1566,1557,0,9,0,0.9942528735632183,,"HH001292_A6,HH001435_A4,HH001908_A6,HH002171_A5,HH002537_A2"
people,564,564,0,0,0,1.0,,
households,316,316,0,0,0,1.0,,
