entity,field,ground_truth,extracted,count
assets,provider_type,retirement_platform,bank,14
assets,owner,client_1,joint,13
assets,asset_type,cash,retirement,10
assets,subtype,bank_account,401k_ira,9
assets,provider_type,advisor_platform,bank,6
assets,asset_type,brokerage,cash,6
assets,subtype,taxable_brokerage,bank_account,6
assets,provider_type,bank,brokerage,4
assets,asset_type,cash,brokerage,4
assets,subtype,bank_account,taxable_brokerage,4
people,occupation_group,business_owner,professional,4
assets,owner,client_2,joint,3
assets,owner,joint,client_1,3
assets,asset_type,cash,alternatives,3
assets,subtype,taxable_brokerage,401k_ira,2
people,occupation_group,operations,business_owner,2
assets,subtype,bank_account,private_markets,2
people,occupation_group,exec,professional,2
people,occupation_group,operations,professional,2
assets,provider_type,retirement_platform,insurance_company,2
assets,asset_type,brokerage,alternatives,2
assets,provider_type,insurance_company,advisor_platform,2
assets,provider_type,brokerage,bank,2
people,occupation_group,professional,business_owner,2
assets,asset_type,brokerage,retirement,2
assets,provider_type,insurance_company,bank,2
people,occupation_group,operations,sales,1
people,occupation_group,healthcare,operations,1
people,occupation_group,exec,business_owner,1
people,occupation_group,exec,inactive,1
people,occupation_group,finance,inactive,1
people,occupation_group,finance,professional,1
people,occupation_group,healthcare,business_owner,1
people,occupation_group,healthcare,finance,1
people,occupation_group,inactive,business_owner,1
people,occupation_group,sales,healthcare,1
people,occupation_group,healthcare,sales,1
people,occupation_group,sales,business_owner,1
people,occupation_group,operations,finance,1
people,occupation_group,retired,operations,1
people,occupation_group,professional,sales,1
people,occupation_group,professional,operations,1
people,occupation_group,professional,inactive,1
people,occupation_group,education,professional,1
assets,value,86600,327800,1
people,occupation_group,business_owner,operations,1
assets,subtype,taxable_brokerage,private_markets,1
assets,asset_type,retirement,alternatives,1
assets,asset_type,retirement,cash,1
assets,owner,client_2,client_1,1
assets,owner,joint,client_2,1
assets,provider_type,bank,advisor_platform,1
assets,provider_type,bank,retirement_platform,1
assets,provider_type,brokerage,advisor_platform,1
assets,provider_type,retirement_platform,advisor_platform,1
assets,subtype,401k_ira,bank_account,1
assets,value,106450,552800,1
people,occupation_group,business_owner,inactive,1
assets,value,17350,202250,1
assets,value,58100,250600,1
households,annual_household_gross_income,70800,141550,1
households,risk_tolerance,aggressive,conservative,1
households,risk_tolerance,growth,conservative,1
income_lines,frequency,annual,monthly,1
people,employment_status,employed,employed_full_time,1
people,occupation_group,business_owner,education,1
people,occupation_group,business_owner,healthcare,1
people,occupation_group,sales,operations,1
